Region,Listing ID,Name,Title,Room Type,Price per Night (R$),Rating,Reviews,Latitude,Longitude,Badge,Description,Amenities,Pictures
Acre,39757426,Studio Moderno com Automação e Conforto,Casa em Rio Branco,entire_home,166,5.0,5,-9.961559510851446,-67.83306284500044,Preferido dos hóspedes,"Bem-vindo ao nosso moderno e confortável studio em Rio Branco, Acre! Ideal para quem busca um espaço altamente pensado para relaxamento e conveniência.<br /><br />Studio projetado e mobiliado, decorado com estilo A+.<br />Ar-condicionado, TV Smart, cama box queen, sofá retrátil, com automacao via Alexa. Fogão de indução, frigobar, cafeteira, etc. <br />Portão eletrônico, fechadura por código, e área privativa para carro. Internet de alta velocidade, mesa de estudos. Decoração que promove um ambiente de relaxamento.<br /><br /><b>O espaço</b><br />Pontos de Interesse e distâncias:<br /><br />Padaria A Baronesa - 600 metros<br /><br />Smart Fit - 900 metros<br /><br />Centro Comercial Estação - 600 metros<br />(contem bancos, lanchonetes, restaurantes, farmacias, lojas de todas tipo)<br /><br />Supermercado Araujo - 1300 metros<br /><br /><b>Acesso do hóspede</b><br />Acesso via portão eletrônico e fechadura com código.","['1 cama', '1 quarto', '1 banheiro', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 5 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/e9d6ad69-6cc0-4da3-af43-04dd71d1192d.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/b758c29b-9a58-4466-8909-641bf8212c7e.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/77beb963-598e-4c3b-864e-d5082450fe62.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/c50785bc-1042-4df4-be95-9aac0151d145.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/9087f8a8-0c50-4a9b-90bd-e3220f314720.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk3NTc0MjY%3D/original/20582415-06e3-412c-a74d-4d21a5d09aa7.jpeg?im_w=720']"
Acre,1189806567343212826,quarto privativo para 4 pessoas,Lugar para ficar em Rio Branco,private_room,126,0.0,0,-9.970302802471549,-67.81626393929866,Superhost,"quarto privativo no segundo andar no centro de rio branco, quarto bem confortavel, com ar condicionado, televisor, wi fi, frigobar, banheiro externo e compartilhado ,uma cama de casal, uma bicama de molas , venha se sentir em casa fora de casa, muito seguro ,estacionamento aberto 04 carros , economia, qualidade e conforto.","['2 camas', '1 quarto', '1 banheiro', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito']","['https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/b15e5ed6-b2a3-4165-b1d9-a88fef2387c1.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/4a5f6c40-b64a-49a4-8783-48a6f24b2e61.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/830f552f-5756-44e0-80e2-bcbed1ca38b9.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/3a6704c4-4547-4f30-bd4e-8e76416813b8.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/772701ea-61c4-4d63-85fe-5b4edaeae31b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189806567343212826/original/99008748-a3e0-4aa3-993d-132335dcad56.jpeg?im_w=720']"
Acre,725194536276378133,Kitnet mobiliado  Super Encantador 101,Lugar para ficar em Rio Branco,private_room,115,4.94,36,-9.9684692,-67.8335871,Preferido dos hóspedes,Abrace a simplicidade neste lugar tranquilo e bem-localizado.,"['2 camas', '1 quarto', '1 banheiro privado', '1 cama de casal', '1 cama de solteiro', 'Wi-Fi', 'Piscina', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 5 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/0b930016-47f1-4220-b66f-e02e55da15ba.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1129cffe-f365-455e-bd81-6b72fc252b30.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/22f9ab68-a805-4f1c-bb50-bf95025e46b9.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a3c1d983-d386-4d23-9476-03d69b5296d9.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/09427522-a3fe-438b-bb4f-51d1689b40d8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/aa6bc3a2-bb39-4e69-bb6b-e0bda7ed959a.jpg?im_w=720']"
Acre,1219746084661875075,Minha casa em Cobija e Brasileia,Casa em Brasiléia,entire_home,164,0.0,0,-11.007053497120319,-68.74770677820852,,"O quarto tem tv smart com prime video, disney+, netflix e govistaplay com canais abertos. A cozinha é equipada com air fryer, liquidificador, sanduicheira, fogão, geladeira. Contamos com acesso eletrônico, câmeras externas, portão eletrônico por aplicativo. Estamos a 700 metros do centro comercial; a 1 km do Terminal Rodoviário, a 1,6 km da zona franca de Cobija. Próximo das 3 faculdades de medicina: a 2,2 km da UPDS, a 3,9 km da UAP e 5,5 km da UNIPTEC e a 6 km do Aeroporto de Cobija Bolívia.","['1 cama', '1 quarto', '1 banheiro', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito']","['https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/ec04870c-34c8-46c5-a61e-f99cc0e6979f.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/016df9a7-207a-438b-b69c-d24d78ae359b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/0c0cc868-40b7-44b0-9998-9ef2a2b78849.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/df7c732a-5c7d-4dec-92be-b03de31b2b19.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/3da6a2a3-f272-4060-95c6-8eb0d5913b82.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1219746084661875075/original/e4008bea-5002-46a9-b66d-8618a82e8a25.jpeg?im_w=720']"
Acre,34535289,"Apartamento 3 , confortável e bem localizado",Apartamento em Bosque,entire_home,148,4.96,45,-9.96451,-67.81766,Preferido dos hóspedes,"Apartamento de sala, 1 quarto e 1 banheiros com uma ótima localização, pertinho do mercado do bosque, pronto socorro e lojas 24hs.<br /><br /><b>O espaço</b><br />Apartamento novo com quarto e sala confortável 1 banheiro e cozinha totalmente equipada. Tem muitos restaurantes e lojas próximos!  Sala com 1 sofá-cama, ventilador e TV. Quarto com cama queen, ar condicionado. Condomínio residencial. Localização MUITO segura, área muito silenciosa e ao mesmo tempo com tudo perto. São oferecidas toalhas e lençois para todos os hospedes.<br /><br /><b>Acesso do hóspede</b><br />Áreas comuns e o seu apto","['2 camas', '1 quarto', '1 banheiro', '1 cama de casal', '1 sofá-cama', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 4,9 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/82fd5377-4aa9-4413-b11f-ceebbb99715e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/20aee551-0c20-4ebe-8310-bb71a3c7c592.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/42329aa1-a939-4e71-b65c-8160f2b59b61.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/435d7943-cc7a-4214-837f-8ae97dd228e3.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/80303697-255f-4ae6-936e-ede44701be2e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/50b97347-51a3-40b7-90b2-5f39bae035e3.jpg?im_w=720']"
Acre,1207951757705989584,Apartamento em residencial,Apartamento em Rio Branco,entire_home,118,0.0,0,-9.956462695136334,-67.84277189522982,,"Apartamento bem localizado em residencial com monitoramento, próximo de supermercados e farmácias.","['1 cama', '1 quarto', '1 banheiro', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito']","['https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/b5ab932e-2709-43bf-b188-abffab967181.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/b22e94ef-cc96-4056-9b6c-d44f5ed775ec.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/f6874ae3-71a5-43c0-998c-d7c0ccec5c00.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/85f37067-6338-44c1-b262-006904e88c37.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/096da5e7-be37-4a91-88ed-dc476cb16336.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-1207951757705989584/original/7292fbf7-a3c1-4fa2-8c21-161e44f195aa.jpeg?im_w=720']"
Acre,994238044725983899,Apto 06 / Floresta,Apartamento em Rio Branco,entire_home,143,5.0,9,-9.9661362,-67.8207737,Preferido dos hóspedes,"Bairro Bosque.<br />O grupo terá fácil acesso a tudo o que precisar neste lugar com excelente localização. <br />próximo a supermercados, farmácias, restaurantes, a 1 km do centro.","['1 cama', '1 quarto', '1 banheiro', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 4,8 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/520a917e-6f59-4a00-8fc8-a69cd22813c6.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/22225df7-d8be-4cd7-91e8-4b44027a05be.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/5d18679b-acd0-4424-b43d-0a139ba5fcff.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/7b2d66fd-c72c-4ea2-bda5-be59a8e44659.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/6bdb4e81-dedc-4af3-9836-15a122384dbc.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/hosting/Hosting-994238044725983899/original/f10337a1-87d5-4687-a5a7-3b65d61f0b04.jpeg?im_w=720']"
Acre,1131089161171388909,Quarto Confortável,Quarto em Rio Branco,private_room,138,5.0,6,-9.95938809431487,-67.83340771741389,Preferido dos hóspedes,"Abrace a simplicidade neste lugar tranquilo e bem-localizado. Acomodação muito bem localizada, com comércio perto, restaurantes, lanches, padaria e academia, de fácil acesso, ambiente tranquilo para se acomodar!<br /><br /><b>O espaço</b><br />O apartamento possui dois quartos dos quais são alugados individualmente, permanecendo o valor exposto (para apenas 1 hóspede) e a taxa adicional de 70,00 para hóspede no mesmo quarto.<br /><br /><b>Outras observações</b><br />O valor adicional para hóspede no mesmo quarto 70,00","['2 camas', '2 quartos', '2 camas de casal', 'Wi-Fi', 'Ar-condicionado', 'A limpeza recebeu uma avaliação de 5 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/0f74ae64-789d-4c4a-a6b7-0c44500f31eb.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/a29ac879-c920-4149-b9ed-e6c600c2b302.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/0101ebf1-664a-45d9-a07b-66cb8d1ea09c.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/17f6e4ed-8389-439a-8e91-27e78b953e3a.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/df9804d6-093a-448d-bcec-fd46403a24bb.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1131089161171388909/original/70bb4704-2cb0-457b-9fe0-729758edaae7.jpeg?im_w=720']"
Acre,1081184483210158632,Casa com piscina com 3 quartos para 8 pessoas,Casa em Rio Branco,entire_home,398,4.92,13,-9.948676799159017,-67.83482375455914,Preferido dos hóspedes,"Esta acomodação elegante é perfeita para viagens em grupo.<br />Casa com 3 quartos , sendo duas suites, casa com 4 banheiros, area de servico, piscina, area gourmet, churrasqueira, garagem coberta para 3 carros, ar condicionado nos 3 quartos, todos novos, quartos com televisores, sofa, geladeira, internet, bairro bem localizado, perto de mercados , perto do horto florestal.<br />Casa com portao eletronico, bairro bem seguro .","['3 camas', '3 quartos', '4 banheiros', '1 cama queen', '2 camas de casal', 'Wi-Fi', 'Piscina', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 4,9 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/01d581d0-7e48-4c05-a3cc-59dc3240e4e2.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/b7274df9-727a-4841-b84d-7be210fe8122.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/f2cfbb39-85bd-4d8a-a870-cbd1693aa1c5.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/f1823a31-3f1d-4cd9-a646-e65f4963390b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/3112521d-1383-4945-bb92-74442c513676.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1081184483210158632/original/d38b69e1-8cef-45f7-a7bc-bdc0ed8a0162.jpeg?im_w=720']"
Acre,1189755903813718306,apartamento completo com banheiro  para 6 pessoas,Apartamento em Rio Branco,entire_home,204,5.0,4,-9.9709022,-67.8159403,Superhost,"apartamento ideal para quem esta buscando conforto, boa acomodacao, e qualidade, moveis todos novos, localizado no centro de rio branco, perto dos principais pontos turisticos de rio branco, apartamaneto com duas camas casal muito confortaveis, uma bi cama de molas, banheiro, geladeira, fogao 4 bocas, microondas, televisao, ar condicionado, guarda roupa, com seguranca, portao eletronico, estacionamento aberto para 4 carros , cerca eletrica, quarto amplo e arejado","['3 camas', '1 quarto', '1 banheiro', 'Wi-Fi', 'Ar-condicionado', 'Estacionamento gratuito', 'A limpeza recebeu uma avaliação de 5 estrelas, de um máximo de 5']","['https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/08014d54-425a-4e77-bbdc-9afd86a10565.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/78485c05-9d76-4022-bec4-1db9fa2681e2.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/6f8677b6-0297-4af9-b4f8-87a7c45c8616.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/e00e1c18-af4a-4cbe-94e6-cce63167bb1c.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/b4f1cb3e-566d-4b20-b2f4-77a87675463b.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-1189755903813718306/original/96ff2f54-e1e0-4860-b4d5-e554ffa39c57.jpeg?im_w=720']"
